id,name,college_code,percentage
10156,Orelia,JZ,55.89
10157,Adore,OE,35.9
10158,Darci,TR,58.36
10159,Roseline,HR,28.36
10160,Robinia,AS,17.37
10161,Amalie,DJ,54.94
10162,Max,FF,92.86
10163,Stevana,RT,70.11
10164,Coral,JW,63.91
10165,Emylee,VL,4.5
10166,Jacquetta,CQ,73.77
10167,Lexine,GI,25.31
10168,Fina,RO,2.17
10169,Florencia,ZF,17.62
10170,Carmela,AQ,61.37
10171,Chickie,IW,94.35
10172,Frances,JK,66.31
10173,Brynna,PX,86
10174,Ninnetta,UO,57.47
10175,Rosanne,IW,16.62
10176,Lynea,AB,77.16
10177,Meriel,JS,71.86
10178,Candi,BD,3.35
10179,Reeba,YW,12.67
10180,Allyce,OJ,88.58
10181,Janeczka,YI,77.43
10182,Hermione,HN,81.66
10183,Kore,CZ,66.32
10184,Lynea,AN,88.88
10185,Clary,HE,51.16
10186,Gianina,BR,44.68
10187,Jany,WG,37.36
10188,Dotty,SJ,38.44
10189,Fernande,XX,20.48
10190,Elise,ZR,24.51
10191,Danny,VL,78.17
10192,Di,NC,19.2
10193,Debee,SJ,7.51
10194,Blondelle,DK,13.72
10195,Kerrin,UM,58.11
10196,Livvyy,MC,26.25
10197,Marnia,LS,93
10198,Ayn,XM,95.66
10199,Jolyn,PN,72.59
10200,Jessamyn,TR,92.03
10201,Hyacinthe,ZG,67.02
10202,Janis,OW,34.11
10203,Barbara,GP,38.04
10204,Viki,DS,4.02
10205,Clary,AF,36.15
10206,Lolita,LR,91.75
10207,Estell,FE,65.64
10208,Marylou,WP,97.05
10209,Robbi,ZN,62.57
10210,Cathyleen,UA,47.5
10211,Celisse,RM,48.85
10212,Adore,HF,21.27
10213,Cassandra,VD,89.72
10214,Desirae,CH,39.5
10215,Merry,CO,83.02
10216,Susan,NV,29.29
10217,Hettie,NV,24.53
10218,Zsa Zsa,ZQ,67.93
10219,Ginnie,RJ,85.17
10220,Sidoney,CW,68.91
10221,Nita,TE,24.82
10222,Chloris,EM,43.03
10223,Eadie,FW,33.16
10224,Clementine,XE,99.61
10225,Lanae,YR,38.07
10226,Charlena,JZ,64.4
10227,Barbi,HD,78.06
10228,Dorene,SU,69.13
10229,Marti,WZ,44.46
10230,Margette,GW,9.44
10231,Carree,VG,31.77
10232,Florie,JL,47.83
10233,Gerianna,JV,14.29
10234,Kara-Lynn,WC,27.93
10235,Lanae,TZ,46.44
10236,Linet,QH,92.94
10237,Dale,AY,19.79
10238,Adelle,RQ,99.38
10239,Karolina,GG,47.31
10240,Shirlee,XC,21.45
10241,Karena,WK,88.45
10242,Priscilla,DO,25.39
10243,Mureil,VH,1.03
10244,Allyce,RA,58.72
10245,Lynea,XO,18.65
10246,Lusa,BY,5.13
10247,Charissa,LY,41.5
10248,Atlanta,FT,25.87
10249,Susette,TC,58.69
10250,Kirstin,MH,26.16
10251,Orsola,YU,38.58
10252,Deedee,HQ,63.35
10253,Rori,ME,88.79
10254,Jacquetta,DO,40.6
10255,Meghann,AF,14.09
10256,Rochette,HJ,5.59
10257,Andeee,QM,10.32
10258,Juliane,OG,85.94
10259,Brandise,PR,59.22
10260,Antonietta,ET,18.55
10261,Regina,IW,0.16
10262,Clarice,PV,97.41
10263,Joane,FE,35.72
10264,Brena,II,44.06
10265,Glynnis,JQ,36.62
10266,Hildegaard,YV,76.42
10267,Violet,SS,62.45
10268,Krystle,CW,74.25
10269,Carilyn,KZ,11.03
10270,Tami,RA,2.23
10271,Dorthy,YD,98.41
10272,Merry,AZ,89.24
10273,Roxane,MC,94.86
10274,Rozele,XL,72.57
10275,Georgina,YO,85.75
10276,Cam,YN,5.6
10277,Fina,LT,88.5
10278,Ruthe,JX,52.7
10279,Katharina,NK,73.53
10280,Keelia,VO,89.72
10281,Cherilyn,ZC,79.76
10282,Marita,DK,86.38
10283,Quintina,GL,34.39
10284,Aaren,ST,2.08
10285,Margarette,QR,63.18
10286,Joy,HX,6.81
10287,Betta,NP,18.77
10288,Joleen,VW,34.06
10289,Jerry,XG,58.79
10290,Konstance,LC,3.69
10291,Emmey,PE,37.52
10292,Susan,CQ,12.68
10293,Tabbatha,EP,42.37
10294,Chastity,XA,8.4
10295,Patricia,VO,86.13
10296,Gwenneth,IW,99.19
10297,Ruthe,PD,22.23
10298,Myrtice,WV,17.34
10299,Marline,AY,58.67
10300,Josephine,DF,95.39
10301,Latisha,DQ,58.54
10302,Kaja,CP,52.91
10303,Marylou,CP,61.17
10304,Gabriellia,HH,33.95
10305,Myrtice,YQ,22.64
10306,Addia,MY,4.28
10307,Cathie,FP,58.57
10308,Alejandra,CA,6.04
10309,Kenna,NY,8.35
10310,Lusa,BM,4.59
10311,Imojean,UD,32.97
10312,Aurore,KW,55.99
10313,Jillayne,WN,65.74
10314,Layla,UY,2.99
10315,Barbara,GB,70.56
10316,Kimmy,LW,55.07
10317,Daryl,WQ,76
10318,Aurore,VA,62.7
10319,Zaria,UO,54.99
10320,Olwen,CH,40.69
10321,Elise,PR,43.92
10322,Camile,ZN,8.1
10323,Henriette,PZ,85.44
10324,Zondra,HM,76.22
10325,Karolina,DO,79.13
10326,Theodora,KH,1.82
10327,Alexine,PS,72.94
10328,Neila,CR,30.55
10329,Catharine,CV,90.34
10330,Madelle,BO,85.62
10331,Janis,PB,60.56
10332,Dorothy,HW,5.79
10333,Agnese,GG,38.17
10334,Nerta,CI,27.67
10335,Mildrid,HM,89.79
10336,Nicoli,CI,20.26
10337,Ayn,ER,11.93
10338,Maisey,HX,30.86
10339,Belva,EQ,94.44
10340,Louella,DS,83.98
10341,Tatiania,NM,97.87
10342,Dotty,AA,84.74
10343,Kore,MW,10.85
10344,Claresta,GA,71.89
10345,Ninnetta,DX,48.88
10346,Anestassia,KQ,53.92
10347,Adriana,IB,99.67
10348,Genovera,CW,59.21
10349,Jordan,CG,69.78
10350,Fernande,CP,7.34
10351,Correy,ZA,15.41
10352,Elora,WR,94.02
10353,Addia,WW,44.68
10354,Nickie,CJ,49.62
10355,Bobbi,IJ,24.55
10356,Beverley,KW,66.09
10357,Camile,IT,26.48
10358,Gertrud,MV,74.44
10359,Lynde,JP,13.34
10360,Nadine,HI,13.37
10361,Doralynne,HZ,46.97
10362,Lita,YE,39.21
10363,Priscilla,QO,13.94
10364,Tobe,ZD,10.72
10365,Ermengarde,VC,87.64
10366,Tiffie,AE,50.19
10367,Merci,TR,83.69
10368,Alameda,HO,94.83
10369,Theodora,WP,19.2
10370,Mady,BZ,37.81
10371,Stephanie,VG,41
10372,Bee,FG,66.7
10373,Ashlee,JE,3.17
10374,Dagmar,DT,16.39
10375,Ida,QY,49.43
10376,Cathyleen,ZF,38.15
10377,Pearline,TJ,16.2
10378,Sean,CX,24.39
10379,Lory,SY,41.68
10380,Eadie,GW,29.82
10381,Coral,AW,60.64
10382,Brandise,VP,90.08
10383,Angelique,QO,55.26
10384,Ricky,WU,42.92
10385,Harmonia,XH,47.29
10386,Gerrie,OD,51.08
10387,Edee,LQ,95.51
10388,Lonnie,OP,64.16
10389,Kary,EA,83.15
10390,Lonnie,JK,40.03
10391,Dede,HV,59.9
10392,Marjie,HW,28.08
10393,Asia,RD,90.01
10394,Blondelle,VJ,36.64
10395,Nicoli,GR,75.3
10396,Ida,CR,63.71
10397,Kate,BV,28.44
10398,Hollie,YC,36.65
10399,June,VB,58.72
10400,Phylis,ZM,34.79
10401,Evaleen,MJ,37.92
10402,Agathe,DI,78.51
10403,Alexine,LA,24.92
10404,Lacie,EZ,24.17
10405,Carlie,SY,5.77
10406,Wendi,YY,66.73
10407,Petronia,QR,62
10408,Lucille,JN,30.99
10409,Marylou,EU,63.21
10410,Annabela,WP,18.5
10411,Madelle,CN,74.21
10412,Sheree,RF,66.51
10413,Estell,RJ,83.25
10414,Fernande,WL,46.28
10415,Abbie,UI,66.2
10416,Wanda,ZZ,64.19
10417,Krystle,OV,13.7
10418,Lorie,VT,91.02
10419,Fanny,IG,42.24
10420,Jessy,FR,24.47
10421,Janenna,JS,70.34
10422,Gretal,YM,56.12
10423,Jere,WR,95.22
10424,Devina,MI,90.97
10425,Frances,BJ,72.67
10426,Kristina,TX,55.37
10427,Alyssa,IL,17.32
10428,Aeriela,TI,2.55
10429,Daryl,TA,59.69
10430,Joleen,FV,44.19
10431,Elfreda,PY,10
10432,Emelina,TG,63.02
10433,Jan,SV,29.06
10434,Chickie,BM,26.9
10435,Lily,CK,67.98
10436,Lauryn,IY,95.92
10437,Marita,UM,49.93
10438,Di,CB,28.43
10439,Minne,FE,27.27
10440,Shirlee,QH,91.61
10441,Debee,NY,40.49
10442,Kary,QG,46
10443,Amalie,XK,39.12
10444,Renie,OH,3.04
10445,Consuela,EQ,53.58
10446,Constance,EW,39.8
10447,Johna,UY,84.05
10448,Tonia,WQ,33.21
10449,Sharlene,ZW,97.02
10450,Steffane,UY,24.9
10451,Eadie,YS,73.13
10452,Hannis,AB,82.47
10453,Gabi,HV,3.42
10454,Gusella,QV,0.9
10455,Dorthy,KZ,81.71
10456,Rosanne,NY,42.12
10457,Karina,FE,1.27
10458,Korrie,TA,29.11
10459,Jasmina,WY,31.58
10460,Jaclyn,EK,45.33
10461,Deloria,PX,9.43
10462,Lenna,CB,82.16
10463,Emelina,EW,24.69
10464,Lexine,DQ,68.83
10465,Babita,XA,6.69
10466,Rosanne,ZQ,44.25
10467,Raf,QR,66.14
10468,Lanna,GX,81.28
10469,Marguerite,TF,7.81
10470,Sean,DM,99.73
10471,Zondra,NY,39.97
10472,Hope,XW,67.13
10473,Alia,FP,71.3
10474,Maridel,FV,34.69
10475,Zia,GE,80.98
10476,Courtnay,AO,99.48
10477,Daryl,NM,65.63
10478,Therine,DQ,90.27
10479,Devina,YY,13.02
10480,Kassey,EL,58.93
10481,Fernande,SU,14.56
10482,Linzy,SU,22.44
10483,Barbara,SM,91.47
10484,Atlanta,NG,15.45
10485,Tersina,VH,63.84
10486,Dagmar,JR,52.38
10487,Kylynn,CW,31.08
10488,Lelah,HS,76.63
10489,Fayre,JC,73.15
10490,Tatiania,ZP,55.39
10491,Daphne,OV,89.6
10492,Tobe,GY,42.82
10493,Yolane,VW,49.06
10494,Malina,PH,59.46
10495,Jere,EJ,50.89
10496,Mellicent,LJ,99.25
10497,Maurene,OF,90.38
10498,Kore,BM,17.65
10499,Inga,LQ,76.01
10500,Alisha,CQ,100.14
10501,Lisette,HT,62.34
10502,Taffy,IM,11.43
10503,Madeleine,JV,43.26
10504,Aubrie,RS,49.76
10505,Rosanne,WI,11.73
10506,Dolli,SN,9.44
10507,Glynnis,PP,3.16
10508,Lyssa,OS,6.04
10509,Mallory,CI,72.65
10510,Michaelina,KP,57.7
10511,Bee,ZA,97.14
10512,Harrietta,XO,80.55
10513,Rozele,NB,67.45
10514,Zsa Zsa,XZ,12.57
10515,Wendi,SL,41.04
10516,Sharlene,EP,32.22
10517,Alleen,GE,73.15
10518,Fidelia,LA,30.43
10519,Marnia,YV,84.18
10520,Gertrud,QF,13.51
10521,Kylynn,IA,30.86
10522,Ivett,JK,9.33
10523,Marline,VW,3.88
10524,Marcelline,RW,10.89
10525,Renie,BK,5.73
10526,Nanete,SW,16.44
10527,Dorothy,RF,14.74
10528,Joane,YW,82.93
10529,Shaine,JK,29.2
10530,Melodie,DF,44.11
10531,Alleen,GK,62.22
10532,Kenna,AK,36.27
10533,Lenna,UR,28.02
10534,Selma,LN,70.6
10535,Noelle,TA,3.68
10536,Alameda,AB,13.19
10537,Sidoney,KC,98.26
10538,Damaris,UH,86.29
10539,Kassey,KZ,40.6
10540,Cacilie,HL,66.05
10541,Anallese,SK,81.26
10542,Livvyy,VE,34.65
10543,Margalo,TZ,80.42
10544,Annora,ST,19.76
10545,Raf,FN,94.43
10546,Eugine,PQ,96.17
10547,Elyssa,SK,47.61
10548,Fidelia,KX,80.3
10549,Arabel,UJ,61.13
10550,Jolyn,KQ,59.81
10551,Renae,RF,29.88
10552,Rani,WQ,72.24
10553,Blake,HT,15.15
10554,Meg,MZ,24.57
10555,Roberta,DZ,65.75
10556,Valeda,CI,35.91
10557,Brana,IS,65.61
10558,Ottilie,KR,3.08
10559,Selma,XR,50.13
10560,Ashlee,DY,66.19
10561,Agathe,XF,60.25
10562,Candi,LW,22.11
10563,Aeriela,ZF,38.45
10564,Aimil,OC,76.05
10565,Ilse,EZ,53.28
10566,Tierney,IA,70.86
10567,Jaime,DL,28.14
10568,Zaria,KW,55.01
10569,Romona,RU,16.43
10570,Anthia,FZ,66.42
10571,Loree,PZ,80.55
10572,Daune,NM,96.43
10573,Paule,AX,48.72
10574,Sallie,DW,89.76
10575,Madelle,HI,0.02
10576,Mady,XK,55.06
10577,Ardys,YS,41.56
10578,Mireielle,YK,61.04
10579,Millie,ZF,36.78
10580,Belva,LB,3.42
10581,Anthia,FL,66.78
10582,Cyb,WT,90.84
10583,Emma,SP,15.35
10584,Jacquetta,SO,89.44
10585,Sybille,DP,100.97
10586,Claudina,OH,10.46
10587,Raf,VW,78.4
10588,Kalina,MA,80.31
10589,Brianna,SI,61.58
10590,Gilligan,TR,84.08
10591,Tiffie,JU,45.18
10592,Gabriellia,DB,20.98
10593,Heida,UG,38.93
10594,Benita,SF,71.4
10595,Glenda,CK,78.67
10596,Johna,NA,41.62
10597,Mallory,EI,28.87
10598,Grier,JF,8.81
10599,Briney,EE,16.74
10600,Susan,VQ,65.63
10601,Renae,YA,61.2
10602,Catharine,BU,11.85
10603,Alejandra,NB,79.03
10604,Selia,HW,54.44
10605,Ana,AJ,93.02
10606,Phedra,OQ,78.02
10607,Sidoney,MJ,71.88
10608,Kore,OS,44.1
10609,Alyssa,AQ,76.62
10610,Dorothy,JN,64.32
10611,Laure,WJ,92.05
10612,Nannie,WR,3.01
10613,Trudie,VB,29.99
10614,Yolane,WK,17.79
10615,Karolina,AH,76.3
10616,Keelia,RR,32.78
10617,Dorthy,YO,0.91
10618,Jacquetta,HJ,13.92
10619,Tierney,OH,93.77
10620,Angelique,AK,71.78
10621,Madeleine,OR,68.51
10622,Eve,LF,98.3
10623,Kerrin,EY,73.22
10624,Janis,GG,72.44
10625,Yvonne,OZ,61.65
10626,Merle,GJ,99.9
10627,Shel,UV,31.79
10628,Mallory,BI,81.54
10629,Gianina,ZY,95.57
10630,Henriette,PQ,26.95
10631,Grier,GO,48.4
10632,Lindie,TV,69.49
10633,Selia,DZ,70.12
10634,Philis,JP,52.4
10635,Roseline,CJ,30.39
10636,Trudie,HE,22.25
10637,Ethel,OE,21.65
10638,Mureil,SH,6.19
10639,Dianemarie,TM,18.61
10640,Carilyn,SB,29.93
10641,Daphne,ZM,88.96
10642,Dede,XR,2.81
10643,Mellicent,YA,6.42
10644,Katleen,NQ,80.5
10645,Lesly,KF,20.66
10646,Cissiee,XQ,34.71
10647,Katuscha,UM,58.77
10648,Stevana,YV,6.38
10649,Jany,WC,18.27
10650,Cordi,QO,74.02
10651,Lynde,AT,90.17
10652,Wanda,GF,24.1
10653,Chere,XJ,35.23
10654,Danika,LB,22.43
10655,Madeleine,KY,11.32
10656,Mignon,AX,18.82
10657,Bobinette,CX,89.62
10658,Carlie,LY,9.53
10659,Sophia,XG,47.82
10660,Margalo,BX,7.78
10661,Mady,NN,42.17
10662,Xylina,UG,76.88
10663,Albertina,NQ,77.63
10664,Amelia,RK,25.87
10665,Hayley,QP,49.04
10666,Lita,JW,84.87
10667,Kristan,TO,70.56
10668,Carlie,IM,73.38
10669,Cherilyn,GZ,65.83
10670,Hope,YB,38.41
10671,Sidoney,LZ,92.03
10672,Clementine,FL,67.74
10673,Lisette,HH,94.93
10674,Kimberley,FZ,2.5
10675,Maud,QE,99.65
10676,Wilma,WC,97.68
10677,Audrie,GG,87.7
10678,Roberta,SX,90.8
10679,Sheelagh,PP,34.54
10680,Keelia,AV,51.57
10681,Dale,HJ,92.79
10682,Doralynne,WF,76.03
10683,Delilah,CN,75.01
10684,Alexine,SW,52.84
10685,Drucie,KO,86.39
10686,Ann-Marie,EO,15.47
10687,Eugine,ED,99.82
10688,Kirstin,LC,44.74
10689,Kenna,NY,47.01
10690,Morganica,EB,58.74
10691,Blake,BV,72.62
10692,Leanna,SC,57.55
10693,Alisha,ZC,95.05
10694,Krystle,NO,74.59
10695,Vere,TS,41.67
10696,Celene,JF,0.4
10697,Ellette,BA,22.99
10698,Laure,RB,58.6
10699,Maridel,JU,80.91
10700,Margalo,GK,81.27
10701,Starla,SR,45.35
10702,Nelle,CV,1.48
10703,Helsa,KJ,85.98
10704,Ethel,BT,62.96
10705,Magdalena,HU,1.48
10706,Tatiania,VD,30.84
10707,Karlee,AS,77.83
10708,Regina,WU,59.87
10709,Rubie,SA,71.93
10710,Dyann,XG,49.83
10711,Corina,ZS,3.96
10712,Karina,OD,76.14
10713,Keelia,NT,45.94
10714,Emelina,YC,91.51
10715,Aubrie,DC,86.81
10716,Darci,XB,60.12
10717,Rosaline,OZ,85.52
10718,Madalyn,HO,16.54
10719,Demetris,LP,77.1
10720,Anica,CO,44.9
10721,Evita,IA,91.17
10722,Cassondra,RD,84.29
10723,Brynna,IJ,67.96
10724,Hildegaard,MF,95.67
10725,Vinita,ME,8.3
10726,Flo,UT,96.83
10727,Etta,UY,91.22
10728,Annabela,SU,62.76
10729,Shauna,PF,66.51
10730,Christian,ZH,98.96
10731,Marika,FH,6.33
10732,Phylis,UD,45.43
10733,Alia,WW,73.71
10734,Karly,ZF,88.01
10735,Chandra,AD,80.15
10736,Caryl,YY,49.05
10737,Melina,IM,49.31
10738,Sonni,HW,94.54
10739,Ricky,UC,57.37
10740,Rani,QA,72.91
10741,Taffy,SX,43.41
10742,Blinni,TQ,24.57
10743,Sibella,EO,42.08
10744,Jaclyn,XB,13.7
10745,Pearline,IL,96.7
10746,Gisela,XK,37.6
10747,Tilly,KT,23.01
10748,Carree,HN,61.41
10749,Brena,FR,48.34
10750,Desirae,MV,65.31
10751,Wanda,WO,66.39
10752,Annecorinne,HJ,70.5
10753,Ilse,RJ,45.88
10754,Arlina,DD,85.33
10755,Vita,LW,55.55
10756,Ann-Marie,VS,70.03
10757,Magdalena,LS,51.43
10758,Dania,DR,96.74
10759,Jinny,NZ,92.57
10760,Oona,UH,37.78
10761,Ilse,WB,73.45
10762,Heddie,OT,32.46
10763,Starla,TW,16.31
10764,Sallie,MM,94.95
10765,Kellen,VZ,54.75
10766,Elvira,AR,62.34
10767,Beatriz,AV,58.94
10768,Goldie,EG,46.36
10769,Corina,KZ,2.51
10770,Dominga,KX,19.67
10771,Lyssa,TG,6.49
10772,Winifred,OZ,60.83
10773,Hyacinthe,BS,17.01
10774,Annecorinne,ZD,32.97
10775,Suzette,OL,16.15
10776,Cherilyn,RN,59.89
10777,Almeta,UZ,77.36
10778,Carilyn,PQ,16.43
10779,Jere,VA,18.94
10780,Marline,YZ,25.1
10781,Adelle,LD,58.62
10782,Drucie,VH,94.13
10783,Paulita,LE,79.9
10784,Glenda,VP,25.64
10785,Augustine,QK,50.21
10786,Jany,VY,4.23
10787,Merry,VV,16.77
10788,Fredericka,JL,74.44
10789,Grier,NL,71.1
10790,Lanae,YT,96.45
10791,Shandie,EZ,74.85
10792,Kaja,QH,62.61
10793,Rhoda,TR,17.44
10794,Gale,RV,22.44
10795,Tressa,JD,38.97
10796,Agnese,TQ,58.37
10797,Selma,FD,7.87
10798,Dominga,KP,58.46
10799,Christal,HP,56.97
10800,Roseline,RL,47.05
10801,Jany,RF,55.76
10802,Debee,BB,69.83
10803,Halette,YC,26.87
10804,Roslyn,LS,70.11
10805,Fernande,PV,87.95
10806,Nikki,TA,76.07
10807,Doralynne,SR,62.18
10808,Stephanie,MI,42.92
10809,Wilma,GW,19.42
10810,Dyann,CC,10.41
10811,Kittie,NL,63.68
10812,Alisha,DT,61.38
10813,Bobbi,CV,24.1
10814,Fernande,SG,21.66
10815,Stephanie,CH,100.42
10816,Roseline,SH,81.62
10817,Fred,TH,23.02
10818,Patricia,WW,85.68
10819,Lesly,NL,53.98
10820,Eolanda,IP,16.45
10821,Gisela,TH,40.64
10822,Alyssa,WX,77.12
10823,Misha,FI,53.52
10824,Penelopa,SD,28.09
10825,Kassey,MS,2.26
10826,Damaris,NZ,77.56
10827,Jerry,BQ,36.77
10828,Joelly,AT,46.65
10829,Farrah,HA,3.6
10830,Sarette,CW,55.47
10831,Zia,CX,84.16
10832,Roxane,XQ,81.77
10833,Florie,PT,76.16
10834,Julieta,JL,61.81
10835,Annecorinne,YY,26.42
10836,Sidoney,ZC,82.7
10837,Pollyanna,DG,21.31
10838,Ileana,TQ,75.41
10839,Vere,UU,99.17
10840,Ileana,OL,38.96
10841,Evaleen,SH,63.64
10842,Maisey,JT,31.94
10843,Arlena,LW,22.03
10844,Henriette,NS,100.6
10845,Daune,TH,53.56
10846,Ernesta,GB,0.16
10847,Bobinette,WB,43.73
10848,Brianna,OX,29.04
10849,Benita,TN,17.26
10850,Clementine,RP,15.55
10851,Micheline,WA,71.71
10852,Dolli,YL,44.51
10853,Allyce,VN,65.61
10854,Xylina,JA,19.65
10855,Peri,YW,8.48
10856,Caritta,BU,11.22
10857,Jennica,XW,27.7
10858,Emmey,XH,11.48
10859,Fred,TI,59.42
10860,Joane,YW,51.39
10861,Sheelagh,YL,76.3
10862,Adele,HN,81.09
10863,Tonia,BY,73.72
10864,Jany,RE,67.4
10865,Maye,OM,15.41
10866,Renie,ZX,87.14
10867,Minne,OQ,74.69
10868,Kristina,EK,45.11
10869,Sheelagh,AB,83.35
10870,Shel,FG,27.66
10871,Beatriz,GH,78.68
10872,Damaris,RG,40.72
10873,Riannon,UL,14.81
10874,Joane,MM,69.58
10875,Dode,MG,88.51
10876,Zaria,RE,82.89
10877,Dania,UZ,78.63
10878,Lanna,VW,94.31
10879,Lenna,JI,99.44
10880,Blondelle,JM,40.41
10881,Jenilee,NI,84.53
10882,Roxane,XK,25.28
10883,Ellette,QS,25.24
10884,Marjie,SQ,72.74
10885,Miquela,IG,35.09
10886,Juliane,OP,22.46
10887,Zaria,UL,21.67
10888,Annora,TV,49.46
10889,Janeczka,KL,34.01
10890,Orelia,ND,64.32
10891,Meg,DX,18.09
10892,Valera,UD,35.23
10893,Chere,SS,32.13
10894,Anallese,HQ,73.71
10895,Karina,WB,50.85
10896,Rosanne,KG,55.93
10897,Cecile,OT,61.91
10898,Rosanne,MJ,31.3
10899,Nicoli,FX,44.83
10900,Gale,IK,6.19
10901,Tobe,NR,37.26
10902,Alisha,NQ,84.58
10903,Ursulina,VT,72.65
10904,Fanny,ZW,19.5
10905,Felice,RS,27.64
10906,Shell,BC,68.59
10907,Lisette,PU,71.81
10908,Dominga,AK,62.23
10909,Micheline,CZ,18.76
10910,Mariele,QW,60.53
10911,Pollyanna,LA,39.82
10912,Cacilie,EN,85.71
10913,Elena,IM,72.49
10914,Katharina,KB,77.81
10915,Viki,OT,89.19
10916,Fernande,XR,59.18
10917,Brandise,TN,53.23
10918,Kaia,VY,9.43
10919,Charlena,JF,28.19
10920,Marti,FZ,96.47
